Year of Date,State,CountySt,County,CityState,City,Targeted,Bounces,Exits,New Users,Number of Records,Pageviews,Session Duration,Sessions,Time On Page,Unique Pageviews,EventCity
2017,New Hampshire,"Grafton, NH",Grafton,"Hanover, New Hampshire",Hanover,Other,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Grafton, NH",Grafton,"Lyme, New Hampshire",Lyme,Other,6,6,5,5,6,0,6,0,6,No Event
2017,New Hampshire,"Grafton, NH",Grafton,"Woodstock, New Hampshire",Woodstock,Other,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Bedford, New Hampshire",Bedford,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Brookline, New Hampshire",Brookline,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Goffstown, New Hampshire",Goffstown,Targeted,3,3,3,3,3,0,3,0,3,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Hudson, New Hampshire",Hudson,Targeted,4,4,4,4,4,0,4,0,4,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Manchester, New Hampshire",Manchester,Targeted,33,33,28,28,33,0,33,0,33,EventCity
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Merrimack, New Hampshire",Merrimack,Targeted,12,14,14,12,16,2,14,2,14,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Nashua, New Hampshire",Nashua,Targeted,17,18,17,18,21,223,18,223,19,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Pelham, New Hampshire",Pelham,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Peterborough, New Hampshire",Peterborough,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Hillsborough, NH",Hillsborough,"Temple, New Hampshire",Temple,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Merrimack, NH",Merrimack,"Concord, New Hampshire",Concord,Targeted,7,7,5,6,7,0,7,0,7,EventCity
2017,New Hampshire,"Merrimack, NH",Merrimack,"Epsom, New Hampshire",Epsom,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,New Hampshire,"Merrimack, NH",Merrimack,"Hopkinton, New Hampshire",Hopkinton,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Merrimack, NH",Merrimack,"Newbury, New Hampshire",Newbury,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Merrimack, NH",Merrimack,"Salisbury, New Hampshire",Salisbury,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Atkinson, New Hampshire",Atkinson,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Deerfield, New Hampshire",Deerfield,Targeted,0,1,1,1,2,0,1,0,1,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Derry, New Hampshire",Derry,Targeted,23,25,22,25,28,22,25,21,26,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Exeter, New Hampshire",Exeter,Targeted,21,27,21,20,37,"1,693",27,"1,692",29,EventCity
2017,New Hampshire,"Rockingham, NH",Rockingham,"Hampton, New Hampshire",Hampton,Targeted,4,4,4,4,4,0,4,0,4,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Londonderry, New Hampshire",Londonderry,Targeted,3,3,3,3,3,0,3,0,3,EventCity
2017,New Hampshire,"Rockingham, NH",Rockingham,"Newmarket, New Hampshire",Newmarket,Targeted,3,3,3,3,3,0,3,0,3,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Northwood, New Hampshire",Northwood,Targeted,2,2,2,2,2,0,2,0,2,EventCity
