Year of Date,State,CountySt,County,CityState,City,Targeted,Bounces,Exits,New Users,Number of Records,Pageviews,Session Duration,Sessions,Time On Page,Unique Pageviews,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Bethel, Connecticut",Bethel,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Bridgeport, Connecticut",Bridgeport,Targeted,72,76,43,47,85,239,76,239,77,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Brookfield, Connecticut",Brookfield,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Danbury, Connecticut",Danbury,Targeted,3,6,5,6,12,171,6,171,7,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Darien, Connecticut",Darien,Targeted,0,2,2,2,11,252,2,252,9,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Easton, Connecticut",Easton,Targeted,1,2,2,2,6,95,2,95,3,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Fairfield, Connecticut",Fairfield,Targeted,20,22,12,22,25,42,22,42,22,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Greenwich, Connecticut",Greenwich,Targeted,2,2,2,2,2,0,2,0,2,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Monroe, Connecticut",Monroe,Targeted,5,5,4,4,5,0,5,0,5,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"New Canaan, Connecticut",New Canaan,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"New Fairfield, Connecticut",New Fairfield,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Newtown, Connecticut",Newtown,Targeted,11,11,5,9,11,0,11,0,11,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Norwalk, Connecticut",Norwalk,Targeted,44,50,33,35,63,"1,813",50,"1,812",58,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Redding, Connecticut",Redding,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Shelton, Connecticut",Shelton,Targeted,5,6,6,6,7,2,6,2,7,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Sherman, Connecticut",Sherman,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Stamford, Connecticut",Stamford,Targeted,20,22,14,19,24,667,22,667,22,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Stratford, Connecticut",Stratford,Targeted,15,15,7,12,15,0,15,0,15,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Trumbull, Connecticut",Trumbull,Targeted,17,18,14,16,19,12,18,12,18,EventCity
2017,Connecticut,"Fairfield, CT",Fairfield,"Weston, Connecticut",Weston,Targeted,2,2,0,2,2,0,2,0,2,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Westport, Connecticut",Westport,Targeted,8,8,7,8,8,0,8,0,8,No Event
2017,Connecticut,"Fairfield, CT",Fairfield,"Wilton, Connecticut",Wilton,Targeted,4,4,3,4,4,0,4,0,4,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Avon, Connecticut",Avon,Targeted,5,6,6,5,9,85,6,84,8,No Event
2017,Connecticut,"Hartford, CT",Hartford,"Canton, Connecticut",Canton,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Enfield, Connecticut",Enfield,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Hartford, Connecticut",Hartford,Targeted,9,10,6,8,11,0,10,0,10,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Manchester, Connecticut",Manchester,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Hartford, CT",Hartford,"New Britain, Connecticut",New Britain,Targeted,2,2,2,1,2,0,2,0,2,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Newington, Connecticut",Newington,Targeted,3,4,2,4,5,962,4,962,4,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"West Hartford, Connecticut",West Hartford,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"Hartford, CT",Hartford,"Windsor, Connecticut",Windsor,Targeted,1,1,0,1,1,0,1,0,1,EventCity
2017,Connecticut,"Middlesex, CT",Middlesex,"Cromwell, Connecticut",Cromwell,Other,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Middlesex, CT",Middlesex,"Durham, Connecticut",Durham,Other,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Middlesex, CT",Middlesex,"Middletown, Connecticut",Middletown,Other,0,1,1,1,2,87,1,87,2,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Ansonia, Connecticut",Ansonia,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"New Haven, CT",New Haven,"Branford, Connecticut",Branford,Targeted,5,8,5,8,14,139,8,139,8,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Cheshire, Connecticut",Cheshire,Targeted,13,14,12,12,18,"1,392",14,"1,392",15,EventCity
2017,Connecticut,"New Haven, CT",New Haven,"Derby, Connecticut",Derby,Targeted,3,3,2,2,3,0,3,0,3,No Event
2017,Connecticut,"New Haven, CT",New Haven,"East Haven, Connecticut",East Haven,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Guilford, Connecticut",Guilford,Targeted,4,4,4,4,4,0,4,0,4,EventCity
2017,Connecticut,"New Haven, CT",New Haven,"Hamden, Connecticut",Hamden,Targeted,3,4,3,3,5,0,4,0,4,EventCity
2017,Connecticut,"New Haven, CT",New Haven,"Madison, Connecticut",Madison,Targeted,3,3,2,3,3,0,3,0,3,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Meriden, Connecticut",Meriden,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Milford, Connecticut",Milford,Targeted,15,15,11,12,15,0,15,0,15,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Naugatuck, Connecticut",Naugatuck,Targeted,35,36,25,32,37,17,36,17,36,No Event
2017,Connecticut,"New Haven, CT",New Haven,"New Haven, Connecticut",New Haven,Targeted,52,52,40,45,52,0,52,0,52,No Event
2017,Connecticut,"New Haven, CT",New Haven,"North Haven, Connecticut",North Haven,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Orange, Connecticut",Orange,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Seymour, Connecticut",Seymour,Targeted,4,4,4,4,4,0,4,0,4,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Southbury, Connecticut",Southbury,Targeted,2,3,3,3,4,12,3,12,3,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Wallingford, Connecticut",Wallingford,Targeted,8,8,8,7,8,0,8,0,8,No Event
2017,Connecticut,"New Haven, CT",New Haven,"Waterbury, Connecticut",Waterbury,Targeted,3,3,3,3,3,0,3,0,3,EventCity
2017,Connecticut,"New Haven, CT",New Haven,"West Haven, Connecticut",West Haven,Targeted,2,2,1,2,2,0,2,0,2,EventCity
2017,Connecticut,"New Haven, CT",New Haven,"Woodbridge, Connecticut",Woodbridge,Targeted,7,9,6,7,13,116,9,116,11,No Event
2017,Connecticut,"New London, CT",New London,"Groton, Connecticut",Groton,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"New London, CT",New London,"Norwich, Connecticut",Norwich,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"New London, CT",New London,"Waterford, Connecticut",Waterford,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Connecticut,"Tolland, CT",Tolland,"Mansfield, Connecticut",Mansfield,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Connecticut,"Windham, CT",Windham,"Thompson, Connecticut",Thompson,Other,2,2,2,2,2,0,2,0,2,No Event
2017,Connecticut,"Windham, CT",Windham,"Windham, Connecticut",Windham,Other,2,2,2,2,2,0,2,0,2,No Event
2017,Massachusetts,"Barnstable, MA",Barnstable,"Barnstable, Massachusetts",Barnstable,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Barnstable, MA",Barnstable,"Dennis, Massachusetts",Dennis,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Barnstable, MA",Barnstable,"Yarmouth, Massachusetts",Yarmouth,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,Massachusetts,"Berkshire, MA",Berkshire,"Williamstown, Massachusetts",Williamstown,Other,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Bristol, MA",Bristol,"Attleboro, Massachusetts",Attleboro,Targeted,7,7,7,7,7,0,7,0,7,EventCity
2017,Massachusetts,"Bristol, MA",Bristol,"Fall River, Massachusetts",Fall River,Targeted,4,5,3,5,8,3,5,4,5,EventCity
2017,Massachusetts,"Bristol, MA",Bristol,"Mansfield, Massachusetts",Mansfield,Targeted,0,1,1,1,3,933,1,932,1,No Event
2017,Massachusetts,"Bristol, MA",Bristol,"New Bedford, Massachusetts",New Bedford,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Massachusetts,"Bristol, MA",Bristol,"North Attleborough, Massachusetts",North Attleborough,Targeted,5,5,3,3,5,0,5,0,5,No Event
2017,Massachusetts,"Bristol, MA",Bristol,"Norton, Massachusetts",Norton,Targeted,2,2,1,2,2,0,2,0,2,EventCity
2017,Massachusetts,"Bristol, MA",Bristol,"Rehoboth, Massachusetts",Rehoboth,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,Massachusetts,"Bristol, MA",Bristol,"Seekonk, Massachusetts",Seekonk,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Bristol, MA",Bristol,"Swansea, Massachusetts",Swansea,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Bristol, MA",Bristol,"Taunton, Massachusetts",Taunton,Targeted,5,7,4,6,10,209,7,209,7,EventCity
2017,Massachusetts,"Essex, MA",Essex,"Amesbury, Massachusetts",Amesbury,Targeted,4,4,4,4,4,0,4,0,4,EventCity
2017,Massachusetts,"Essex, MA",Essex,"Andover, Massachusetts",Andover,Targeted,3,3,3,3,3,0,3,0,3,No Event
2017,Massachusetts,"Essex, MA",Essex,"Beverly, Massachusetts",Beverly,Targeted,4,4,3,4,4,0,4,0,4,EventCity
2017,Massachusetts,"Essex, MA",Essex,"Boxford, Massachusetts",Boxford,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Essex, MA",Essex,"Gloucester, Massachusetts",Gloucester,Targeted,39,39,17,28,39,0,39,0,39,No Event
2017,Massachusetts,"Essex, MA",Essex,"Haverhill, Massachusetts",Haverhill,Targeted,34,37,31,31,41,93,37,93,38,EventCity
2017,Massachusetts,"Essex, MA",Essex,"Lawrence, Massachusetts",Lawrence,Targeted,12,13,9,13,14,103,13,103,13,EventCity
2017,Massachusetts,"Essex, MA",Essex,"Lynn, Massachusetts",Lynn,Targeted,10,11,11,11,12,4,11,4,11,No Event
2017,Massachusetts,"Essex, MA",Essex,"Methuen, Massachusetts",Methuen,Targeted,8,8,8,8,8,0,8,0,8,EventCity
2017,Massachusetts,"Essex, MA",Essex,"Newburyport, Massachusetts",Newburyport,Targeted,4,4,4,4,4,0,4,0,4,EventCity
2017,Massachusetts,"Essex, MA",Essex,"North Andover, Massachusetts",North Andover,Targeted,15,16,9,12,17,"1,335",16,"1,335",16,No Event
2017,Massachusetts,"Essex, MA",Essex,"Peabody, Massachusetts",Peabody,Targeted,6,7,5,7,8,151,7,151,7,EventCity
2017,Massachusetts,"Essex, MA",Essex,"Salem, Massachusetts",Salem,Targeted,4,4,3,4,4,0,4,0,4,No Event
2017,Massachusetts,"Essex, MA",Essex,"Saugus, Massachusetts",Saugus,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Essex, MA",Essex,"Wenham, Massachusetts",Wenham,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Hampden, MA",Hampden,"Springfield, Massachusetts",Springfield,Targeted,2,2,2,2,2,0,2,0,2,EventCity
2017,Massachusetts,"Hampden, MA",Hampden,"West Springfield, Massachusetts",West Springfield,Targeted,2,3,1,3,5,97,3,97,4,EventCity
2017,Massachusetts,"Hampshire, MA",Hampshire,"Amherst, Massachusetts",Amherst,Other,2,2,1,2,2,0,2,0,2,No Event
2017,Massachusetts,"Hampshire, MA",Hampshire,"Northampton, Massachusetts",Northampton,Other,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Acton, Massachusetts",Acton,Targeted,4,5,5,5,6,3,5,3,5,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Arlington, Massachusetts",Arlington,Targeted,14,16,14,14,38,644,16,645,32,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Ashby, Massachusetts",Ashby,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Ashland, Massachusetts",Ashland,Targeted,6,6,4,6,6,0,6,0,6,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Bedford, Massachusetts",Bedford,Targeted,5,5,5,5,5,0,5,0,5,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Belmont, Massachusetts",Belmont,Targeted,3,3,1,2,3,0,3,0,3,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Billerica, Massachusetts",Billerica,Targeted,19,21,13,20,25,"1,093",21,"1,093",22,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Burlington, Massachusetts",Burlington,Targeted,10,11,6,10,12,17,11,17,11,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Cambridge, Massachusetts",Cambridge,Targeted,15,17,16,16,24,789,17,789,18,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Chelmsford, Massachusetts",Chelmsford,Targeted,3,3,3,3,3,0,3,0,3,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Concord, Massachusetts",Concord,Targeted,5,5,4,5,5,0,5,0,5,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Dracut, Massachusetts",Dracut,Targeted,3,3,3,3,3,0,3,0,3,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Everett, Massachusetts",Everett,Targeted,4,5,5,4,8,41,5,42,6,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Framingham, Massachusetts",Framingham,Targeted,12,13,10,12,21,151,13,151,18,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Holliston, Massachusetts",Holliston,Targeted,13,13,10,10,13,0,13,0,13,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Hopkinton, Massachusetts",Hopkinton,Targeted,10,11,11,11,12,29,11,29,11,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Lexington, Massachusetts",Lexington,Targeted,5,5,5,5,5,0,5,0,5,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Littleton, Massachusetts",Littleton,Targeted,8,8,8,7,8,0,8,0,8,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Lowell, Massachusetts",Lowell,Targeted,7,10,10,10,13,"1,441",10,"1,441",11,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Malden, Massachusetts",Malden,Targeted,24,25,20,23,26,9,25,9,25,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Marlborough, Massachusetts",Marlborough,Targeted,30,33,30,28,36,37,33,37,33,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Medford, Massachusetts",Medford,Targeted,10,12,12,11,15,58,12,58,13,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Melrose, Massachusetts",Melrose,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Natick, Massachusetts",Natick,Targeted,2,2,1,2,2,0,2,0,2,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Newton, Massachusetts",Newton,Targeted,5,5,5,4,5,0,5,0,5,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"North Reading, Massachusetts",North Reading,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Pepperell, Massachusetts",Pepperell,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Reading, Massachusetts",Reading,Targeted,12,13,10,12,14,"1,007",13,"1,007",13,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Somerville, Massachusetts",Somerville,Targeted,4,4,4,4,4,0,4,0,4,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Stoneham, Massachusetts",Stoneham,Targeted,5,7,1,6,9,36,7,36,7,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Sudbury, Massachusetts",Sudbury,Targeted,8,9,9,8,10,30,9,30,9,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Tewksbury, Massachusetts",Tewksbury,Targeted,25,27,14,21,30,65,27,65,27,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Townsend, Massachusetts",Townsend,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Tyngsborough, Massachusetts",Tyngsborough,Targeted,3,3,1,3,3,0,3,0,3,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Wakefield, Massachusetts",Wakefield,Targeted,4,4,4,4,4,0,4,0,4,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Waltham, Massachusetts",Waltham,Targeted,5,6,5,5,7,914,6,914,6,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Watertown, Massachusetts",Watertown,Targeted,1,1,1,1,1,0,1,0,1,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Westford, Massachusetts",Westford,Targeted,6,8,6,7,10,33,8,33,9,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Weston, Massachusetts",Weston,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Wilmington, Massachusetts",Wilmington,Targeted,3,3,3,3,3,0,3,0,3,EventCity
2017,Massachusetts,"Middlesex, MA",Middlesex,"Winchester, Massachusetts",Winchester,Targeted,5,5,5,5,5,0,5,0,5,No Event
2017,Massachusetts,"Middlesex, MA",Middlesex,"Woburn, Massachusetts",Woburn,Targeted,3,3,2,3,3,0,3,0,3,No Event
2017,Massachusetts,"Norfolk, MA",Norfolk,"Foxborough, Massachusetts",Foxborough,Targeted,1,1,0,1,1,0,1,0,1,No Event
2017,Massachusetts,"Norfolk, MA",Norfolk,"Franklin, Massachusetts",Franklin,Targeted,5,7,4,6,10,849,7,849,7,EventCity
2017,Massachusetts,"Norfolk, MA",Norfolk,"Medway, Massachusetts",Medway,Targeted,2,2,0,2,2,0,2,0,2,No Event
2017,Massachusetts,"Norfolk, MA",Norfolk,"Quincy, Massachusetts",Quincy,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Norfolk, MA",Norfolk,"Randolph, Massachusetts",Randolph,Targeted,1,1,0,1,1,0,1,0,1,EventCity
2017,Massachusetts,"Norfolk, MA",Norfolk,"Weymouth, Massachusetts",Weymouth,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Massachusetts,"Plymouth, MA",Plymouth,"Bridgewater, Massachusetts",Bridgewater,Targeted,2,3,1,2,6,29,3,28,3,EventCity
2017,Massachusetts,"Plymouth, MA",Plymouth,"Brockton, Massachusetts",Brockton,Targeted,0,2,2,2,6,28,2,27,2,EventCity
2017,Massachusetts,"Suffolk, MA",Suffolk,"Boston, Massachusetts",Boston,Targeted,"1,808","1,943","1,023",229,"2,284","34,101","1,943","34,102","2,029",EventCity
2017,Massachusetts,"Suffolk, MA",Suffolk,"Revere, Massachusetts",Revere,Targeted,1,1,0,1,1,0,1,0,1,EventCity
2017,Massachusetts,"Worcester, MA",Worcester,"Athol, Massachusetts",Athol,Targeted,2,2,1,2,2,0,2,0,2,No Event
2017,Massachusetts,"Worcester, MA",Worcester,"Auburn, Massachusetts",Auburn,Targeted,19,20,9,15,21,66,20,66,20,EventCity
2017,Massachusetts,"Worcester, MA",Worcester,"Barre, Massachusetts",Barre,Targeted,2,2,2,2,2,0,2,0,2,EventCity
2017,Massachusetts,"Worcester, MA",Worcester,"Charlton, Massachusetts",Charlton,Targeted,2,2,2,2,2,0,2,0,2,EventCity
2017,Massachusetts,"Worcester, MA",Worcester,"Fitchburg, Massachusetts",Fitchburg,Targeted,10,10,8,9,10,0,10,0,10,EventCity
2017,Massachusetts,"Worcester, MA",Worcester,"Gardner, Massachusetts",Gardner,Targeted,7,7,7,6,7,0,7,0,7,EventCity
2017,Massachusetts,"Worcester, MA",Worcester,"Leicester, Massachusetts",Leicester,Targeted,1,1,0,1,1,0,1,0,1,EventCity
