"CityState","Geo.Targeted.Areas","Student.Type","Initial.Referral.Source","Stealth","Month.of.Created.Date","Created.Date..group.","Month.of.Initial.Source.Date","Initial.Source.Date..group.","Primary.State.Province","Primary.City..Primary.County..Primary.State.Province..group.","City","Purchased.Lead.Names","Created.Date","Lead","Inquiry","Applied","Admitted","Confirmed","Enrolled","County","CountySt","EventCity","ZIP","State","lat","lon"
"Stratham, NH","Geo Targets","First-Year Student","ACTT","Not Stealth","Jun-17","8/15/2016-8/14/2017","Sep-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Stratham","Lead Names","6/6/2017",1,1,0,0,0,0,"Rockingham ","Rockingham , NH","NoEvent",3885,"NH",43.015756,-70.90192
"Exeter, NH","Geo Targets","First-Year Student","ACTT","Not Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Exeter","Lead Names","6/6/2017",1,1,1,1,0,0,"Rockingham ","Rockingham , NH","EventCity",3833,"NH",42.973783,-70.97665
"Windham, NH","Geo Targets","First-Year Student","ACTT","Not Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Windham","Not Lead Purchase","11/15/2017",1,1,1,1,0,0,"Rockingham ","Rockingham , NH","NoEvent",3087,"NH",42.805194,-71.29878
"Hampton, NH","Geo Targets","First-Year Student","APPL","Stealth","Sep-14","Before 8/15/2016","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Hampton","Not Lead Purchase","9/7/2014",3,3,3,3,0,0,"Rockingham ","Rockingham , NH","NoEvent",3842,"NH",42.93569,-70.82514
"Stamford, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-14","Before 8/15/2016","Nov-18","8/15/2018-present","CT","Fairfield County, CT","Stamford","Not Lead Purchase","10/20/2014",1,1,1,0,0,0,"Fairfield ","Fairfield , CT","EventCity",6901,"CT",41.051996,-73.53903
"Gales Ferry, CT","Geo Targets","First-Year Student","APPL","Stealth","Jun-15","Before 8/15/2016","Sep-18","8/15/2018-present","CT","New London County CT","Gales Ferry","Not Lead Purchase","6/4/2015",1,1,1,0,0,0,"New London","New London, CT","NoEvent",6335,"CT",41.426775,-72.07227
"Methuen, MA","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Essex County, MA","Methuen","Lead Names","12/12/2016",1,1,1,1,0,0,"Essex ","Essex , MA","EventCity",1844,"MA",42.73004,-71.17935
"Nashua, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Nashua","Lead Names","12/12/2016",2,2,2,2,0,0,"Hillsborough ","Hillsborough , NH","NoEvent",3030,"NH",42.749988,-71.46431
"Chichester, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Merrimack County, NH","Chichester","Lead Names","12/12/2016",3,3,3,3,0,0,"Merrimack ","Merrimack , NH","NoEvent",3258,"NH",43.255881,-71.397599
"Dover, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Strafford County, NH","Dover","Lead Names","12/12/2016",2,2,2,2,0,0,"Strafford ","Strafford , NH","NoEvent",3820,"NH",43.190984,-70.88787
"Andover, MA","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Essex County, MA","Andover","Lead Names","12/12/2016",3,3,3,3,0,0,"Essex ","Essex , MA","NoEvent",1810,"MA",42.646942,-71.1513
"Franklin, NH","Geo Targets","First-Year Student","APPL","Stealth","Dec-16","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Merrimack County, NH","Franklin","Lead Names","12/12/2016",6,6,6,6,0,0,"Merrimack ","Merrimack , NH","NoEvent",3235,"NH",43.444456,-71.66034
"Amherst, NH","Geo Targets","First-Year Student","APPL","Stealth","Feb-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Amherst","Lead Names","2/14/2017",4,4,4,4,0,0,"Hillsborough ","Hillsborough , NH","NoEvent",3031,"NH",42.854886,-71.6082
"Lynn, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Essex County, MA","Lynn","Lead Names","2/14/2017",2,2,2,0,0,0,"Essex ","Essex , MA","NoEvent",1901,"MA",42.461246,-70.946743
"Manchester, NH","Geo Targets","First-Year Student","APPL","Stealth","Feb-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Manchester","Lead Names","2/14/2017",1,1,1,1,0,0,"Hillsborough ","Hillsborough , NH","EventCity",3101,"NH",42.989984,-71.46376
"Dover, NH","Geo Targets","First-Year Student","APPL","Stealth","May-17","8/15/2016-8/14/2017","Nov-18","8/15/2018-present","NH","Strafford County, NH","Dover","Not Lead Purchase","5/9/2017",5,5,5,0,0,0,"Strafford ","Strafford , NH","NoEvent",3820,"NH",43.190984,-70.88787
"Lynnfield, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Essex County, MA","Lynnfield","Lead Names","6/6/2017",1,1,1,1,0,0,"Essex ","Essex , MA","NoEvent",1940,"MA",42.527895,-71.02834
"Littleton, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Littleton","Lead Names","6/6/2017",2,2,2,2,0,0,"Middlesex ","Middlesex , MA","NoEvent",1460,"MA",42.540052,-71.49085
"North Billerica, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","North Billerica","Lead Names","6/6/2017",1,1,1,1,0,0,"Middlesex ","Middlesex , MA","NoEvent",1862,"MA",42.573592,-71.2911
"Wakefield, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Oct-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Wakefield","Lead Names","6/6/2017",2,2,2,2,0,0,"Middlesex ","Middlesex , MA","NoEvent",1880,"MA",42.501345,-71.07132
"Methuen, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Essex County, MA","Methuen","Lead Names","6/6/2017",1,1,1,0,0,0,"Essex ","Essex , MA","EventCity",1844,"MA",42.73004,-71.17935
"Everett, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Everett","Lead Names","6/6/2017",1,1,1,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",2149,"MA",42.409916,-71.0522
"Somerville, MA","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Somerville","Lead Names","6/6/2017",1,1,1,1,0,0,"Middlesex ","Middlesex , MA","NoEvent",2143,"MA",42.381929,-71.09908
"Bedford, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Bedford","Lead Names","6/6/2017",2,2,2,2,0,0,"Hillsborough ","Hillsborough , NH","NoEvent",3110,"NH",42.942551,-71.51993
"Newfields, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Newfields","Lead Names","6/6/2017",1,1,1,1,0,0,"Rockingham ","Rockingham , NH","NoEvent",3856,"NH",43.03833,-70.95076
"Salem, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Rockingham County, NH","Salem","Lead Names","6/6/2017",2,2,2,2,0,0,"Rockingham ","Rockingham , NH","EventCity",3079,"NH",42.792456,-71.21316
"Dover, NH","Geo Targets","First-Year Student","APPL","Stealth","Jun-17","8/15/2016-8/14/2017","Nov-17","8/15/2017-8/14/2018","NH","Strafford County, NH","Dover","Lead Names","6/6/2017",1,1,1,1,0,0,"Strafford ","Strafford , NH","NoEvent",3820,"NH",43.190984,-70.88787
"Osterville, MA","Geo Targets","First-Year Student","APPL","Stealth","Sep-17","8/15/2017-8/14/2018","Sep-17","8/15/2017-8/14/2018","MA","Barnstable County, MA","Osterville","Not Lead Purchase","9/20/2017",1,1,1,1,0,0,"Barnstable ","Barnstable , MA","NoEvent",2655,"MA",41.632935,-70.38693
"Bridgeport, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","CT","Fairfield County, CT","Bridgeport","Not Lead Purchase","10/4/2017",2,2,2,0,0,0,"Fairfield ","Fairfield , CT","EventCity",6601,"CT",41.308873,-73.363661
"Enfield, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","CT","Hartford County, CT","Enfield","Not Lead Purchase","10/17/2017",1,1,1,1,0,0,"Hartford ","Hartford , CT","EventCity",6082,"CT",41.987238,-72.56365
"New Milford, CT","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","CT","Litchfield County, CT","New Milford","Not Lead Purchase","10/11/2017",4,4,4,4,4,0,"Litchfield ","Litchfield , CT","NoEvent",6776,"CT",41.581494,-73.41313
"South Dartmouth, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Bristol County, MA","South Dartmouth","Not Lead Purchase","10/19/2017",2,2,2,2,0,0,"Bristol ","Bristol , MA","NoEvent",2748,"MA",41.59156,-70.9494
"Brimfield, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Hampden County, MA","Brimfield","Not Lead Purchase","10/31/2017",1,1,1,0,0,0,"Hampden ","Hampden , MA","NoEvent",1010,"MA",42.126038,-72.20552
"Quincy, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Norfolk County, MA","Quincy","Not Lead Purchase","10/28/2017",1,1,1,1,0,0,"Norfolk ","Norfolk , MA","NoEvent",2169,"MA",42.250739,-70.99593
"Concord, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","NH","Merrimack County, NH","Concord","Not Lead Purchase","10/25/2017",1,1,1,1,0,0,"Merrimack ","Merrimack , NH","EventCity",3301,"NH",43.213705,-71.53774
"Manchester, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","NH","Hillsborough County, NH","Manchester","Lead Names","10/12/2017",4,4,4,0,0,0,"Hillsborough ","Hillsborough , NH","EventCity",3101,"NH",42.989984,-71.46376
"Atkinson, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","NH","Rockingham County, NH","Atkinson","Lead Names","10/12/2017",1,1,1,0,0,0,"Rockingham ","Rockingham , NH","NoEvent",3811,"NH",42.836245,-71.16246
"Fremont, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","NH","Rockingham County, NH","Fremont","Lead Names","10/12/2017",2,2,2,0,0,0,"Rockingham ","Rockingham , NH","NoEvent",3004,"NH",43.001762,-71.154866
"Malden, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Middlesex County, MA","Malden","Lead Names","10/12/2017",1,1,1,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",2148,"MA",42.428549,-71.06059
"Melrose, MA","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Middlesex County, MA","Melrose","Lead Names","10/12/2017",2,2,2,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",2176,"MA",42.459045,-71.06233
"New Boston, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","NH","Hillsborough County, NH","New Boston","Lead Names","10/12/2017",5,5,5,0,0,0,"Hillsborough ","Hillsborough , NH","NoEvent",3070,"NH",42.978267,-71.69414
"Epping, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","NH","Rockingham County, NH","Epping","Lead Names","10/12/2017",1,1,1,0,0,0,"Rockingham ","Rockingham , NH","NoEvent",3042,"NH",43.045076,-71.07095
"Exeter, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","NH","Rockingham County, NH","Exeter","Lead Names","10/12/2017",1,1,1,0,0,0,"Rockingham ","Rockingham , NH","EventCity",3833,"NH",42.973783,-70.97665
"Somersworth, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","NH","Strafford County, NH","Somersworth","Lead Names","10/12/2017",2,2,2,0,0,0,"Strafford ","Strafford , NH","NoEvent",3878,"NH",43.253783,-70.87549
"Rochester, NH","Geo Targets","First-Year Student","APPL","Stealth","Oct-17","8/15/2017-8/14/2018","Nov-18","November 30 2018 12:00 AM","NH","Strafford County, NH","Rochester","Lead Names","10/12/2017",1,1,1,0,0,0,"Strafford ","Strafford , NH","NoEvent",3839,"NH",43.267581,-70.98552
"Brockton, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Plymouth County, MA","Brockton","Not Lead Purchase","11/2/2017",1,1,1,1,0,0,"Plymouth ","Plymouth , MA","EventCity",2301,"MA",42.0794,-71.03441
"Rutland, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","MA","Worcester County, MA","Rutland","Not Lead Purchase","11/2/2017",3,3,3,3,3,3,"Worcester ","Worcester , MA","NoEvent",1543,"MA",42.380877,-71.96427
"Randolph, VT","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Oct-17","8/15/2017-8/14/2018","VT","Orange County, VT","Randolph","Not Lead Purchase","11/2/2017",1,1,1,0,0,0,"Orange ","Orange , VT","NoEvent",5060,"VT",43.954353,-72.66916
"Wethersfield, CT","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","CT","Hartford County, CT","Wethersfield","Not Lead Purchase","11/17/2017",1,1,1,1,0,0,"Hartford ","Hartford , CT","NoEvent",6109,"CT",41.702049,-72.6747
"Niantic, CT","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","CT","New London County CT","Niantic","Not Lead Purchase","11/14/2017",2,2,2,2,0,0,"New London","New London, CT","NoEvent",6357,"CT",41.319649,-72.21064
"Tolland, CT","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","CT","Tolland County, CT","Tolland","Not Lead Purchase","11/29/2017",1,1,1,1,0,0,"Tolland ","Tolland , CT","NoEvent",6084,"CT",41.87688,-72.36806
"Sandwich, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Barnstable County, MA","Sandwich","Not Lead Purchase","11/21/2017",1,1,1,1,0,0,"Barnstable ","Barnstable , MA","NoEvent",2563,"MA",41.735645,-70.48866
"Berkley, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Bristol County, MA","Berkley","Not Lead Purchase","11/15/2017",1,1,1,1,0,0,"Bristol ","Bristol , MA","NoEvent",2779,"MA",41.825252,-71.07799
"North Attleboro, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Bristol County, MA","North Attleboro","Not Lead Purchase","11/21/2017",1,1,1,1,0,0,"Bristol ","Bristol , MA","EventCity",2760,"MA",41.975495,-71.33086
"Haverhill, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Essex County, MA","Haverhill","Not Lead Purchase","11/21/2017",1,1,1,0,0,0,"Essex ","Essex , MA","EventCity",1823,"MA",42.800429,-71.11087
"Chelmsford, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Chelmsford","Not Lead Purchase","11/27/2017",1,1,1,1,1,1,"Middlesex ","Middlesex , MA","NoEvent",1824,"MA",42.595491,-71.3544
"Dunstable, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Middlesex County, MA","Dunstable","Not Lead Purchase","11/7/2017",2,2,2,2,0,0,"Middlesex ","Middlesex , MA","NoEvent",1827,"MA",42.671356,-71.50292
"Medway, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Norfolk County, MA","Medway","Not Lead Purchase","11/4/2017",2,2,2,2,0,0,"Norfolk ","Norfolk , MA","NoEvent",2053,"MA",42.151526,-71.42315
"Quincy, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Norfolk County, MA","Quincy","Not Lead Purchase","11/6/2017",3,3,3,3,0,0,"Norfolk ","Norfolk , MA","NoEvent",2169,"MA",42.250739,-70.99593
"Roxbury, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Suffolk County, MA","Roxbury","Not Lead Purchase","11/29/2017",1,1,1,0,0,0,"Suffolk ","Suffolk , MA","EventCity",NA,NA,NA,NA
"Worcester, MA","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Worcester County, MA","Worcester","Not Lead Purchase","11/3/2017",3,3,3,3,0,0,"Worcester ","Worcester , MA","EventCity",1601,"MA",42.265275,-71.879415
"Alton, NH","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","NH","Belknap County, NH","Alton","Not Lead Purchase","11/3/2017",2,2,2,2,2,2,"Belknap ","Belknap , NH","NoEvent",3809,"NH",43.478364,-71.22377
"Weare, NH","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","NH","Hillsborough County, NH","Weare","Not Lead Purchase","11/16/2017",1,1,1,1,0,0,"Hillsborough ","Hillsborough , NH","EventCity",3281,"NH",43.080986,-71.72329
"Concord, NH","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","NH","Merrimack County, NH","Concord","Not Lead Purchase","11/29/2017",1,1,1,0,0,0,"Merrimack ","Merrimack , NH","EventCity",3301,"NH",43.213705,-71.53774
"Riverside, RI","Geo Targets","First-Year Student","APPL","Stealth","Nov-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","RI","Providence County, RI","Riverside","Not Lead Purchase","11/27/2017",1,1,1,0,0,0,"Providence ","Providence , RI","NoEvent",2915,"RI",41.7695,-71.35564
"Westfield, MA","Geo Targets","First-Year Student","APPL","Stealth","Dec-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","MA","Hampden County, MA","Westfield","Not Lead Purchase","12/5/2017",1,1,1,1,0,0,"Hampden ","Hampden , MA","EventCity",1085,"MA",42.133642,-72.75029
"East Thetford, VT","Geo Targets","First-Year Student","APPL","Stealth","Dec-17","8/15/2017-8/14/2018","Nov-17","8/15/2017-8/14/2018","VT","Orange County, VT","East Thetford","Not Lead Purchase","12/5/2017",1,1,1,1,0,0,"Orange ","Orange , VT","NoEvent",5043,"VT",43.795686,-72.21325
"Rockland, MA","Geo Targets","First-Year Student","APPL","Stealth","Jan-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","MA","Plymouth County, MA","Rockland","Not Lead Purchase","1/7/2018",4,4,4,4,0,0,"Plymouth ","Plymouth , MA","NoEvent",2370,"MA",42.129513,-70.91189
"Orange, CT","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","CT","New Haven County, CT","Orange","Lead Names","2/22/2018",1,1,1,1,0,0,"New Haven ","New Haven , CT","NoEvent",6477,"CT",41.279547,-73.02541
"Waterbury, CT","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","CT","New Haven County, CT","Waterbury","Lead Names","2/26/2018",1,1,1,0,0,0,"New Haven ","New Haven , CT","EventCity",6701,"CT",41.365709,-72.927507
"North Easton, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","MA","Bristol County, MA","North Easton","Lead Names","2/26/2018",1,1,1,1,0,0,"Bristol ","Bristol , MA","NoEvent",2356,"MA",42.058507,-71.11309
"Andover, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","MA","Essex County, MA","Andover","Lead Names","2/26/2018",1,1,1,1,0,0,"Essex ","Essex , MA","NoEvent",1810,"MA",42.646942,-71.1513
"Chicopee, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","MA","Hampden County, MA","Chicopee","Lead Names","2/26/2018",2,2,2,0,0,0,"Hampden ","Hampden , MA","EventCity",1013,"MA",42.161492,-72.60316
"Pepperell, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","MA","Middlesex County, MA","Pepperell","Lead Names","2/22/2018",3,3,3,3,0,0,"Middlesex ","Middlesex , MA","NoEvent",1463,"MA",42.665686,-71.5929
"Worcester, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","MA","Worcester County, MA","Worcester","Lead Names","2/26/2018",6,6,6,0,0,0,"Worcester ","Worcester , MA","EventCity",1601,"MA",42.265275,-71.879415
"Danville, VT","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Oct-18","8/15/2018-present","VT","Caledonia County, VT","Danville","Lead Names","2/22/2018",1,1,1,1,0,0,"Caledonia ","Caledonia , VT","NoEvent",5828,"VT",44.424043,-72.12808
"Newington, CT","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","CT","Hartford County, CT","Newington","Lead Names","2/22/2018",2,2,2,0,0,0,"Hartford ","Hartford , CT","EventCity",6111,"CT",41.688899,-72.73101
"Amston, CT","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","CT","Tolland County, CT","Amston","Lead Names","2/22/2018",1,1,1,0,0,0,"Tolland ","Tolland , CT","NoEvent",6231,"CT",41.629818,-72.36419
"Beverly, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Essex County, MA","Beverly","Lead Names","2/26/2018",1,1,1,0,0,0,"Essex ","Essex , MA","EventCity",1915,"MA",42.560995,-70.8757
"Danvers, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Essex County, MA","Danvers","Lead Names","2/26/2018",3,3,3,0,0,0,"Essex ","Essex , MA","NoEvent",1923,"MA",42.569756,-70.94322
"Auburndale, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Middlesex County, MA","Auburndale","Lead Names","2/26/2018",1,1,1,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",2166,"MA",42.346146,-71.243057
"Ayer, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Middlesex County, MA","Ayer","Lead Names","2/22/2018",4,4,4,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",1432,"MA",42.549821,-71.59136
"Pepperell, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Middlesex County, MA","Pepperell","Lead Names","2/22/2018",1,1,1,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",1463,"MA",42.665686,-71.5929
"Tewksbury, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Middlesex County, MA","Tewksbury","Lead Names","2/22/2018",1,1,1,1,0,0,"Middlesex ","Middlesex , MA","NoEvent",1876,"MA",42.601684,-71.22071
"Westford, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Middlesex County, MA","Westford","Lead Names","2/22/2018",1,1,1,0,0,0,"Middlesex ","Middlesex , MA","NoEvent",1886,"MA",42.592086,-71.43754
"Revere, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Suffolk County, MA","Revere","Lead Names","2/26/2018",1,1,1,0,0,0,"Suffolk ","Suffolk , MA","EventCity",2151,"MA",42.416247,-71.00525
"Roslindale, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Suffolk County, MA","Roslindale","Lead Names","2/26/2018",1,1,1,0,0,0,"Suffolk ","Suffolk , MA","NoEvent",2131,"MA",42.284678,-71.13052
"Holden, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Worcester County, MA","Holden","Lead Names","2/26/2018",1,1,1,0,0,0,"Worcester ","Worcester , MA","NoEvent",1520,"MA",42.338962,-71.84434
"Shrewsbury, MA","Geo Targets","First-Year Student","APPL","Stealth","Feb-18","8/15/2017-8/14/2018","Nov-18","8/15/2018-present","MA","Worcester County, MA","Shrewsbury","Lead Names","2/26/2018",1,1,1,0,0,0,"Worcester ","Worcester , MA","NoEvent",1545,"MA",42.286643,-71.72502
