CityState,ZIP,City,State,lat,lon
"North Falmouth, MA",02556,North Falmouth,MA,41.6403,-70.63036
"Onset, MA",02558,Onset,MA,41.746424,-70.65956
"Pocasset, MA",02559,Pocasset,MA,41.694132,-70.61706
"Sagamore, MA",02561,Sagamore,MA,41.770254,-70.533664
"Sagamore Beach, MA",02562,Sagamore Beach,MA,41.793263,-70.519584
"Sandwich, MA",02563,Sandwich,MA,41.735645,-70.48866
"Siasconset, MA",02564,Siasconset,MA,41.273949,-70.015545
"Silver Beach, MA",02565,Silver Beach,MA,41.799312,-70.308662
"Vineyard Haven, MA",02568,Vineyard Haven,MA,41.451263,-70.60872
"Wareham, MA",02571,Wareham,MA,41.751554,-70.71059
"West Falmouth, MA",02574,West Falmouth,MA,41.603946,-70.638189
"West Tisbury, MA",02575,West Tisbury,MA,41.378807,-70.66376
"West Wareham, MA",02576,West Wareham,MA,41.776042,-70.75783
"Hyannis, MA",02601,Hyannis,MA,41.654741,-70.2895
"Barnstable Town, MA",02625,Barnstable Town,MA,41.640528,-70.433279
"Barnstable, MA",02630,Barnstable,MA,41.700327,-70.29568
"Brewster, MA",02631,Brewster,MA,41.746647,-70.07773
"Centerville, MA",02632,Centerville,MA,41.658718,-70.34658
"Chatham, MA",02633,Chatham,MA,41.686534,-69.97746
"Cotuit, MA",02635,Cotuit,MA,41.625037,-70.44317
"Cummaquid, MA",02637,Cummaquid,MA,41.701438,-70.277212
"Dennis, MA",02638,Dennis,MA,41.736684,-70.19183
"East Dennis, MA",02641,East Dennis,MA,41.734713,-70.20467
"Eastham, MA",02642,Eastham,MA,41.844087,-69.98921
"East Orleans, MA",02643,East Orleans,MA,41.784308,-69.962034
"Forestdale, MA",02644,Forestdale,MA,41.683462,-70.51211
"Harwich, MA",02645,Harwich,MA,41.707332,-70.05679
"Harwich Port, MA",02646,Harwich Port,MA,41.669219,-70.07419
"Hyannis Port, MA",02647,Hyannis Port,MA,41.63275,-70.30435
"Marstons Mills, MA",02648,Marstons Mills,MA,41.667689,-70.4168
"North Chatham, MA",02650,North Chatham,MA,41.702265,-69.96958
"North Eastham, MA",02651,North Eastham,MA,41.824264,-69.98176
"North Truro, MA",02652,North Truro,MA,42.02889,-70.07938
"Orleans, MA",02653,Orleans,MA,41.777647,-69.97312
"Osterville, MA",02655,Osterville,MA,41.632935,-70.38693
"Provincetown, MA",02657,Provincetown,MA,42.053355,-70.18947
"South Chatham, MA",02659,South Chatham,MA,41.678628,-70.02495
"South Dennis, MA",02660,South Dennis,MA,41.712338,-70.16165
"South Harwich, MA",02661,South Harwich,MA,41.675799,-70.0396
"South Orleans, MA",02662,South Orleans,MA,41.756694,-69.984123
"South Wellfleet, MA",02663,South Wellfleet,MA,41.800531,-70.076776
"South Yarmouth, MA",02664,South Yarmouth,MA,41.670981,-70.19797
"Truro, MA",02666,Truro,MA,41.992804,-70.05427
"Wellfleet, MA",02667,Wellfleet,MA,41.922412,-70.01484
"West Barnstable, MA",02668,West Barnstable,MA,41.70631,-70.37048
"West Chatham, MA",02669,West Chatham,MA,41.673635,-69.99494
"West Dennis, MA",02670,West Dennis,MA,41.659749,-70.17089
"West Harwich, MA",02671,West Harwich,MA,41.665589,-70.11152
"West Hyannisport, MA",02672,West Hyannisport,MA,41.636077,-70.31962
"West Yarmouth, MA",02673,West Yarmouth,MA,41.656883,-70.23726
"Yarmouth Port, MA",02675,Yarmouth Port,MA,41.703205,-70.22395
"Assonet, MA",02702,Assonet,MA,41.792192,-71.06446
"Attleboro, MA",02703,Attleboro,MA,41.928099,-71.31456
"Chartley, MA",02712,Chartley,MA,41.756214,-71.067062
"Cuttyhunk, MA",02713,Cuttyhunk,MA,41.429673,-70.8954
"Dartmouth, MA",02714,Dartmouth,MA,41.756214,-71.067062
"Dighton, MA",02715,Dighton,MA,41.811514,-71.13633
"East Freetown, MA",02717,East Freetown,MA,41.765934,-70.95332
"East Taunton, MA",02718,East Taunton,MA,41.876249,-71.01827
"Fairhaven, MA",02719,Fairhaven,MA,41.634152,-70.8814
"Fall River, MA",02720,Fall River,MA,41.716952,-71.13986
"Somerset, MA",02725,Somerset,MA,41.721652,-71.17482
"Marion, MA",02738,Marion,MA,41.706599,-70.75086
"Mattapoisett, MA",02739,Mattapoisett,MA,41.654776,-70.80087
"New Bedford, MA",02740,New Bedford,MA,41.634754,-70.93752
"Acushnet, MA",02743,Acushnet,MA,41.697015,-70.91019
"North Dartmouth, MA",02747,North Dartmouth,MA,41.637916,-70.99076
"South Dartmouth, MA",02748,South Dartmouth,MA,41.59156,-70.9494
"North Attleboro, MA",02760,North Attleboro,MA,41.975495,-71.33086
"Plainville, MA",02762,Plainville,MA,42.011848,-71.32392
"Attleboro Falls, MA",02763,Attleboro Falls,MA,41.967949,-71.31024
"North Dighton, MA",02764,North Dighton,MA,41.851557,-71.15125
"Norton, MA",02766,Norton,MA,41.969185,-71.1854
"Raynham, MA",02767,Raynham,MA,41.934586,-71.04905
"Raynham Center, MA",02768,Raynham Center,MA,41.756214,-71.067062
"Rehoboth, MA",02769,Rehoboth,MA,41.835067,-71.26115
"Rochester, MA",02770,Rochester,MA,41.760783,-70.83848
"Seekonk, MA",02771,Seekonk,MA,41.84345,-71.32343
"Swansea, MA",02777,Swansea,MA,41.741551,-71.21433
"Berkley, MA",02779,Berkley,MA,41.825252,-71.07799
"Taunton, MA",02780,Taunton,MA,41.904888,-71.10288
"Westport, MA",02781,Westport,MA,41.522877,-71.069344
"South Kingstown, RI",02789,South Kingstown,RI,41.487831,-71.457592
"Westport Point, MA",02791,Westport Point,MA,41.519104,-71.085137
"Adamsville, RI",02801,Adamsville,RI,41.530131,-71.284066
"Albion, RI",02802,Albion,RI,41.954098,-71.462053
"Ashaway, RI",02804,Ashaway,RI,41.430068,-71.78101
"Foster, RI",02805,Foster,RI,41.830469,-71.711713
"Barrington, RI",02806,Barrington,RI,41.746834,-71.32031
"Block Island, RI",02807,Block Island,RI,41.171389,-71.58358
"Bradford, RI",02808,Bradford,RI,41.402009,-71.74785
"Bristol, RI",02809,Bristol,RI,41.6842,-71.26866
"Carolina, RI",02812,Carolina,RI,41.46603,-71.66408
"Charlestown, RI",02813,Charlestown,RI,41.385256,-71.66813
"Chepachet, RI",02814,Chepachet,RI,41.896002,-71.70335
"Clayville, RI",02815,Clayville,RI,41.777861,-71.67009
"Coventry, RI",02816,Coventry,RI,41.69105,-71.57462
"West Greenwich, RI",02817,West Greenwich,RI,41.625874,-71.67023
"East Greenwich, RI",02818,East Greenwich,RI,41.649733,-71.46815
"Exeter, RI",02822,Exeter,RI,41.563937,-71.60547
"Fiskeville, RI",02823,Fiskeville,RI,41.7312,-71.546756
"Forestdale, RI",02824,Forestdale,RI,42.000248,-71.563057
"Glendale, RI",02826,Glendale,RI,41.982417,-71.600848
"Greene, RI",02827,Greene,RI,41.695419,-71.74472
"Greenville, RI",02828,Greenville,RI,41.870799,-71.5539
"Harmony, RI",02829,Harmony,RI,41.879298,-71.589357
"Harrisville, RI",02830,Harrisville,RI,41.976659,-71.64969
"Hope, RI",02831,Hope,RI,41.73865,-71.57482
"Hope Valley, RI",02832,Hope Valley,RI,41.511414,-71.72737
"Hopkinton, RI",02833,Hopkinton,RI,41.470822,-71.77722
"Jamestown, RI",02835,Jamestown,RI,41.520312,-71.3718
"Kenyon, RI",02836,Kenyon,RI,41.448844,-71.62145
"Little Compton, RI",02837,Little Compton,RI,41.518038,-71.16548
"Manville, RI",02838,Manville,RI,41.968698,-71.47503
"Mapleville, RI",02839,Mapleville,RI,41.948108,-71.64003
"Newport, RI",02840,Newport,RI,41.488002,-71.31262
"Middletown, RI",02842,Middletown,RI,41.511739,-71.28658
"North Kingstown, RI",02852,North Kingstown,RI,41.589701,-71.454
"North Scituate, RI",02857,North Scituate,RI,41.83902,-71.6257
"Oakland, RI",02858,Oakland,RI,41.96186,-71.64661
"Pascoag, RI",02859,Pascoag,RI,41.964896,-71.72311
"Pawtucket, RI",02860,Pawtucket,RI,41.872099,-71.39007
"Central Falls, RI",02863,Central Falls,RI,41.889863,-71.3926
"Cumberland, RI",02864,Cumberland,RI,41.949099,-71.41181
"Lincoln, RI",02865,Lincoln,RI,41.905666,-71.43023
"Portsmouth, RI",02871,Portsmouth,RI,41.603929,-71.26099
"Prudence Island, RI",02872,Prudence Island,RI,41.707119,-71.286834
"Rockville, RI",02873,Rockville,RI,41.519922,-71.774023
"Saunderstown, RI",02874,Saunderstown,RI,41.515135,-71.45692
"Shannock, RI",02875,Shannock,RI,41.447642,-71.63877
"Slatersville, RI",02876,Slatersville,RI,41.998398,-71.576307
"Slocum, RI",02877,Slocum,RI,41.5289,-71.529854
"Tiverton, RI",02878,Tiverton,RI,41.629413,-71.18724
"Wakefield, RI",02879,Wakefield,RI,41.423601,-71.52322
"Kingston, RI",02881,Kingston,RI,41.481001,-71.52689
"Narragansett, RI",02882,Narragansett,RI,41.432452,-71.46352
"Peace Dale, RI",02883,Peace Dale,RI,41.375317,-71.64393
"Warren, RI",02885,Warren,RI,41.726184,-71.27049
"Warwick, RI",02886,Warwick,RI,41.705478,-71.45119
"Westerly, RI",02891,Westerly,RI,41.354881,-71.80387
"West Kingston, RI",02892,West Kingston,RI,41.50155,-71.58465
"West Warwick, RI",02893,West Warwick,RI,41.70375,-71.51857
"Wood River Junction, RI",02894,Wood River Junction,RI,41.444078,-71.69556
"Woonsocket, RI",02895,Woonsocket,RI,42.001731,-71.50722
"North Smithfield, RI",02896,North Smithfield,RI,41.988166,-71.55188
"Wyoming, RI",02898,Wyoming,RI,41.51495,-71.68484
"Cranston, RI",02910,Cranston,RI,41.776867,-71.43672
"North Providence, RI",02911,North Providence,RI,41.853699,-71.47354
"East Providence, RI",02914,East Providence,RI,41.8124,-71.36834
"Riverside, RI",02915,Riverside,RI,41.7695,-71.35564
"Rumford, RI",02916,Rumford,RI,41.84325,-71.35391
"Smithfield, RI",02917,Smithfield,RI,41.894499,-71.51646
"Johnston, RI",02919,Johnston,RI,41.825132,-71.49468
"Fremont, NH",03004,Fremont,NH,43.001762,-71.154866
"Nashua, NH",03030,Nashua,NH,42.749988,-71.46431
"Amherst, NH",03031,Amherst,NH,42.854886,-71.6082
"Auburn, NH",03032,Auburn,NH,43.000345,-71.35141
"Brookline, NH",03033,Brookline,NH,42.742587,-71.66605
"Candia, NH",03034,Candia,NH,43.048372,-71.3078
"Chester, NH",03036,Chester,NH,42.967823,-71.23453
"Deerfield, NH",03037,Deerfield,NH,43.141746,-71.2488
"Derry, NH",03038,Derry,NH,42.886486,-71.30019
"East Candia, NH",03040,East Candia,NH,43.005895,-71.013202
"East Derry, NH",03041,East Derry,NH,43.005895,-71.013202
"Epping, NH",03042,Epping,NH,43.045076,-71.07095
"Francestown, NH",03043,Francestown,NH,42.976901,-71.81007
"Goffstown, NH",03045,Goffstown,NH,43.037495,-71.57023
"Dunbarton, NH",03046,Dunbarton,NH,43.102146,-71.602132
"Greenfield, NH",03047,Greenfield,NH,42.935709,-71.86645
"Greenville, NH",03048,Greenville,NH,42.747024,-71.77591
"Hollis, NH",03049,Hollis,NH,42.739909,-71.58044
"Hudson, NH",03051,Hudson,NH,42.759821,-71.42079
"Litchfield, NH",03052,Litchfield,NH,42.85059,-71.45379
"Londonderry, NH",03053,Londonderry,NH,42.880481,-71.38205
"Merrimack, NH",03054,Merrimack,NH,42.858053,-71.51216
"Milford, NH",03055,Milford,NH,42.831686,-71.66743
"Mont Vernon, NH",03057,Mont Vernon,NH,42.899434,-71.68057
"Sharon, NH",03058,Sharon,NH,42.798995,-71.950759
"New Boston, NH",03070,New Boston,NH,42.978267,-71.69414
"New Ipswich, NH",03071,New Ipswich,NH,42.753726,-71.86706
"North Salem, NH",03073,North Salem,NH,43.005895,-71.013202
"Pelham, NH",03076,Pelham,NH,42.734182,-71.32359
"Raymond, NH",03077,Raymond,NH,43.031491,-71.19598
"Salem, NH",03079,Salem,NH,42.792456,-71.21316
"Lyndeborough, NH",03082,Lyndeborough,NH,42.902259,-71.78452
"Temple, NH",03084,Temple,NH,42.81949,-71.85063
"Wilton, NH",03086,Wilton,NH,42.830184,-71.78177
"Windham, NH",03087,Windham,NH,42.805194,-71.29878
"Manchester, NH",03101,Manchester,NH,42.989984,-71.46376
"Hooksett, NH",03106,Hooksett,NH,43.058785,-71.44412
"Bedford, NH",03110,Bedford,NH,42.942551,-71.51993
"Waterville Valley, NH",03215,Waterville Valley,NH,43.951304,-71.50336
"Andover, NH",03216,Andover,NH,43.444702,-71.78401
"Ashland, NH",03217,Ashland,NH,43.705061,-71.62778
"Barnstead, NH",03218,Barnstead,NH,43.338347,-71.29305
"Belmont, NH",03220,Belmont,NH,43.459555,-71.47352
"Bradford, NH",03221,Bradford,NH,43.256053,-71.95405
"Bristol, NH",03222,Bristol,NH,43.615799,-71.75006
"Campton, NH",03223,Campton,NH,43.887682,-71.65161
"Canterbury, NH",03224,Canterbury,NH,43.346137,-71.54434
"Center Barnstead, NH",03225,Center Barnstead,NH,43.354005,-71.22819
"Center Harbor, NH",03226,Center Harbor,NH,43.721094,-71.49652
"Center Sandwich, NH",03227,Center Sandwich,NH,43.802936,-71.45126
"Contoocook, NH",03229,Contoocook,NH,43.204192,-71.70711
"Danbury, NH",03230,Danbury,NH,43.506405,-71.87281
"East Andover, NH",03231,East Andover,NH,43.466172,-71.736518
"East Hebron, NH",03232,East Hebron,NH,43.967542,-71.840883
"Elkins, NH",03233,Elkins,NH,43.423484,-71.93648
"Epsom, NH",03234,Epsom,NH,43.228594,-71.3611
"Franklin, NH",03235,Franklin,NH,43.444456,-71.66034
"Gilmanton, NH",03237,Gilmanton,NH,43.42975,-71.37517
"Glencliff, NH",03238,Glencliff,NH,43.967542,-71.840883
"Grafton, NH",03240,Grafton,NH,43.568328,-71.96422
"Hebron, NH",03241,Hebron,NH,43.713794,-71.80642
"Henniker, NH",03242,Henniker,NH,43.173469,-71.81722
"Hill, NH",03243,Hill,NH,43.521669,-71.73815
"Hillsboro, NH",03244,Hillsboro,NH,43.119417,-71.92108
"Holderness, NH",03245,Holderness,NH,43.737831,-71.604406
"Laconia, NH",03246,Laconia,NH,43.557153,-71.43842
"Lincoln, NH",03251,Lincoln,NH,44.051981,-71.6606
"Lochmere, NH",03252,Lochmere,NH,43.468562,-71.537145
"Meredith, NH",03253,Meredith,NH,43.644559,-71.50488
"Moultonborough, NH",03254,Moultonborough,NH,43.712184,-71.39299
"Newbury, NH",03255,Newbury,NH,43.32582,-72.02654
"New Hampton, NH",03256,New Hampton,NH,43.60768,-71.64372
"New London, NH",03257,New London,NH,43.418863,-72.00004
"Chichester, NH",03258,Chichester,NH,43.255881,-71.397599
"North Sandwich, NH",03259,North Sandwich,NH,43.880005,-71.39475
"North Sutton, NH",03260,North Sutton,NH,43.356838,-71.9255
"Northwood, NH",03261,Northwood,NH,43.216633,-71.2079
"North Woodstock, NH",03262,North Woodstock,NH,44.0285,-71.68701
"Pittsfield, NH",03263,Pittsfield,NH,43.30368,-71.3215
"Plymouth, NH",03264,Plymouth,NH,43.753837,-71.64503
"Rumney, NH",03266,Rumney,NH,43.806365,-71.87952
"Salisbury, NH",03268,Salisbury,NH,43.388571,-71.74199
"Sanbornton, NH",03269,Sanbornton,NH,43.523175,-71.5876
"South Newbury, NH",03272,South Newbury,NH,43.310279,-71.662928
"South Sutton, NH",03273,South Sutton,NH,43.317257,-71.92709
"Stinson Lake, NH",03274,Stinson Lake,NH,43.967542,-71.840883
"Suncook, NH",03275,Suncook,NH,43.152469,-71.43654
"Tilton, NH",03276,Tilton,NH,43.446729,-71.5785
"Warner, NH",03278,Warner,NH,43.283838,-71.82537
"Warren, NH",03279,Warren,NH,43.938224,-71.88853
"Washington, NH",03280,Washington,NH,43.173046,-72.09755
"Weare, NH",03281,Weare,NH,43.080986,-71.72329
"Wentworth, NH",03282,Wentworth,NH,43.874357,-71.91765
"Springfield, NH",03284,Springfield,NH,43.501755,-72.01296
"Thornton, NH",03285,Thornton,NH,43.93,-71.62
"Wilmot, NH",03287,Wilmot,NH,43.430018,-71.90457
"Winnisquam, NH",03289,Winnisquam,NH,43.496372,-71.519728
"Nottingham, NH",03290,Nottingham,NH,43.115874,-71.11081
"West Nottingham, NH",03291,West Nottingham,NH,43.179984,-71.1392
"Woodstock, NH",03293,Woodstock,NH,43.967542,-71.840883
"Concord, NH",03301,Concord,NH,43.213705,-71.53774
"Bow, NH",03304,Bow,NH,43.144614,-71.53576
"Loudon, NH",03307,Loudon,NH,43.31773,-71.4534
"Bennington, NH",03342,Bennington,NH,43.01428,-71.881017
"Tamworth, NH",03386,Tamworth,NH,43.89715,-71.30915
"Keene, NH",03431,Keene,NH,42.946418,-72.28616
"Harrisville, NH",03438,Harrisville,NH,42.921791,-72.00547
"Antrim, NH",03440,Antrim,NH,43.060424,-71.95068
"Ashuelot, NH",03441,Ashuelot,NH,42.791069,-72.4352
"Chesterfield, NH",03443,Chesterfield,NH,42.871815,-72.47163
"Dublin, NH",03444,Dublin,NH,42.899874,-72.06334
"Sullivan, NH",03445,Sullivan,NH,43.009728,-72.19383
"Swanzey, NH",03446,Swanzey,NH,42.870578,-72.29978
"Fitzwilliam, NH",03447,Fitzwilliam,NH,42.754744,-72.14838
"Gilsum, NH",03448,Gilsum,NH,43.055293,-72.26149
"Hancock, NH",03449,Hancock,NH,42.975105,-71.98913
"Hinsdale, NH",03451,Hinsdale,NH,42.797633,-72.49518
"Jaffrey, NH",03452,Jaffrey,NH,42.827096,-72.03418
"Marlborough, NH",03455,Marlborough,NH,42.932177,-72.16219
"Marlow, NH",03456,Marlow,NH,43.125523,-72.21382
"Munsonville, NH",03457,Munsonville,NH,43.025227,-72.14365
"Peterborough, NH",03458,Peterborough,NH,42.884919,-71.95133
"Rindge, NH",03461,Rindge,NH,42.749835,-72.01034
"Spofford, NH",03462,Spofford,NH,42.913966,-72.41522
"Stoddard, NH",03464,Stoddard,NH,43.078658,-72.0959
"Troy, NH",03465,Troy,NH,42.822155,-72.17618
"West Chesterfield, NH",03466,West Chesterfield,NH,42.899338,-72.51629
"Westmoreland, NH",03467,Westmoreland,NH,42.971069,-72.42512
"West Peterborough, NH",03468,West Peterborough,NH,42.890804,-71.933396
"West Swanzey, NH",03469,West Swanzey,NH,42.87341,-72.31509
"Winchester, NH",03470,Winchester,NH,42.775629,-72.33893
"Pittsburg, NH",03552,Pittsburg,NH,45.085717,-71.345714
"Littleton, NH",03561,Littleton,NH,44.313606,-71.79751
"Berlin, NH",03570,Berlin,NH,44.463337,-71.19092
"Goshen, NH",03572,Goshen,NH,43.28616,-72.148784
"Bethlehem, NH",03574,Bethlehem,NH,44.28177,-71.69225
"Bretton Woods, NH",03575,Bretton Woods,NH,44.695648,-71.387387
"Colebrook, NH",03576,Colebrook,NH,44.893888,-71.44766
"Landaff, NH",03578,Landaff,NH,44.101208,-71.854211
"Errol, NH",03579,Errol,NH,44.789296,-71.15394
"Franconia, NH",03580,Franconia,NH,44.200124,-71.69959
"Gorham, NH",03581,Gorham,NH,44.386557,-71.16273
"Groveton, NH",03582,Groveton,NH,44.610605,-71.48147
"Jefferson, NH",03583,Jefferson,NH,44.376866,-71.46436
"Lancaster, NH",03584,Lancaster,NH,44.483756,-71.54999
"Lisbon, NH",03585,Lisbon,NH,44.225864,-71.87371
"Sugar Hill, NH",03586,Sugar Hill,NH,44.23,-71.78
"Meadows, NH",03587,Meadows,NH,44.695648,-71.387387
"Milan, NH",03588,Milan,NH,44.608332,-71.24335
"Mount Washington, NH",03589,Mount Washington,NH,44.695648,-71.387387
"North Stratford, NH",03590,North Stratford,NH,44.719769,-71.59395
"Randolph, NH",03593,Randolph,NH,44.37,-71.25
"Twin Mountain, NH",03595,Twin Mountain,NH,44.271516,-71.51746
"West Stewartstown, NH",03597,West Stewartstown,NH,44.695648,-71.387387
"Whitefield, NH",03598,Whitefield,NH,44.378771,-71.62248
"Acworth, NH",03601,Acworth,NH,43.242719,-72.30269
"Alstead, NH",03602,Alstead,NH,43.142384,-72.32575
"Charlestown, NH",03603,Charlestown,NH,43.249468,-72.39026
"Drewsville, NH",03604,Drewsville,NH,42.947098,-72.243029
"Lempster, NH",03605,Lempster,NH,43.231807,-72.17556
"South Acworth, NH",03607,South Acworth,NH,43.195329,-72.26894
"Walpole, NH",03608,Walpole,NH,43.075411,-72.41902
"North Walpole, NH",03609,North Walpole,NH,43.142254,-72.4483
"Freedom, NH",03638,Freedom,NH,43.822389,-71.092797
"Enfield, NH",03648,Enfield,NH,43.630276,-72.135352
"Lyme, NH",03678,Lyme,NH,43.827375,-72.139036
"Newport, NH",03733,Newport,NH,43.38807,-72.243666
"Bath, NH",03740,Bath,NH,44.114163,-71.948852
"Canaan, NH",03741,Canaan,NH,43.659172,-72.01333
"Claremont, NH",03743,Claremont,NH,43.374562,-72.34152
"Cornish, NH",03745,Cornish,NH,43.476337,-72.33337
"Cornish Flat, NH",03746,Cornish Flat,NH,43.364504,-72.193966
"Enfield Center, NH",03749,Enfield Center,NH,43.579573,-72.08541
"Etna, NH",03750,Etna,NH,43.701003,-72.20056
"Georges Mills, NH",03751,Georges Mills,NH,43.437503,-72.07185
"Grantham, NH",03753,Grantham,NH,43.516383,-72.12954
"Guild, NH",03754,Guild,NH,43.365618,-72.125562
"Hanover, NH",03755,Hanover,NH,43.719756,-72.2507
"Lebanon, NH",03756,Lebanon,NH,43.967542,-71.840883
"Sunapee, NH",03757,Sunapee,NH,43.444147,-72.088709
"Haverhill, NH",03765,Haverhill,NH,44.037125,-72.05658
"Lyme Center, NH",03769,Lyme Center,NH,43.786267,-72.120468
"Meriden, NH",03770,Meriden,NH,43.525462,-72.28072
"Monroe, NH",03771,Monroe,NH,44.281722,-72.02789
"North Haverhill, NH",03774,North Haverhill,NH,44.08541,-71.9943
"Orford, NH",03777,Orford,NH,43.908925,-72.07831
"Piermont, NH",03779,Piermont,NH,43.976427,-72.04409
"Pike, NH",03780,Pike,NH,44.029684,-71.98612
"Plainfield, NH",03781,Plainfield,NH,43.53357,-72.30353
"West Lebanon, NH",03784,West Lebanon,NH,43.649781,-72.30594
"Woodsville, NH",03785,Woodsville,NH,44.133215,-71.96306
"Rollinsford, NH",03805,Rollinsford,NH,43.285282,-70.930684
"Alton, NH",03809,Alton,NH,43.478364,-71.22377
"Alton Bay, NH",03810,Alton Bay,NH,43.478917,-71.28776
"Atkinson, NH",03811,Atkinson,NH,42.836245,-71.16246
"Bartlett, NH",03812,Bartlett,NH,44.081906,-71.29729
"Center Conway, NH",03813,Center Conway,NH,44.041089,-71.0627
"Center Ossipee, NH",03814,Center Ossipee,NH,43.767878,-71.12926
"Center Strafford, NH",03815,Center Strafford,NH,43.256254,-71.10317
"Center Tuftonboro, NH",03816,Center Tuftonboro,NH,43.685171,-71.28404
"Chocorua, NH",03817,Chocorua,NH,43.878112,-71.22069
"Conway, NH",03818,Conway,NH,43.966958,-71.15892
"Danville, NH",03819,Danville,NH,42.927682,-71.12034
"Dover, NH",03820,Dover,NH,43.190984,-70.88787
"Madbury, NH",03823,Madbury,NH,43.17,-70.93
"Durham, NH",03824,Durham,NH,43.128085,-70.96035
"Barrington, NH",03825,Barrington,NH,43.208136,-71.04356
"East Hampstead, NH",03826,East Hampstead,NH,42.890357,-71.12296
"East Kingston, NH",03827,East Kingston,NH,42.91574,-70.98459
"East Wakefield, NH",03830,East Wakefield,NH,43.640621,-70.98935
"Eaton Center, NH",03832,Eaton Center,NH,43.907045,-71.04716
"Exeter, NH",03833,Exeter,NH,42.973783,-70.97665
"Farmington, NH",03835,Farmington,NH,43.395688,-71.06217
"Gilmanton Iron Works, NH",03837,Gilmanton Iron Works,NH,43.435913,-71.32971
"Glen, NH",03838,Glen,NH,44.116958,-71.20354
"Rochester, NH",03839,Rochester,NH,43.267581,-70.98552
"Greenland, NH",03840,Greenland,NH,43.038279,-70.84714
"Hampstead, NH",03841,Hampstead,NH,42.880837,-71.18252
"Hampton, NH",03842,Hampton,NH,42.93569,-70.82514
"Hampton Falls, NH",03844,Hampton Falls,NH,42.923946,-70.88666
"Intervale, NH",03845,Intervale,NH,44.086488,-71.13865
"Jackson, NH",03846,Jackson,NH,44.166268,-71.18089
"Kearsarge, NH",03847,Kearsarge,NH,43.883871,-71.257726
"Kingston, NH",03848,Kingston,NH,42.923643,-71.06236
"Madison, NH",03849,Madison,NH,43.930805,-71.14311
"Melvin Village, NH",03850,Melvin Village,NH,43.707657,-71.301681
"Milton, NH",03851,Milton,NH,43.422942,-71.011369
"Milton Mills, NH",03852,Milton Mills,NH,43.500126,-70.96931
"Mirror Lake, NH",03853,Mirror Lake,NH,43.642398,-71.28614
"New Castle, NH",03854,New Castle,NH,43.068338,-70.72353
"New Durham, NH",03855,New Durham,NH,43.443682,-71.14628
"Newfields, NH",03856,Newfields,NH,43.03833,-70.95076
"Newmarket, NH",03857,Newmarket,NH,43.072738,-70.94336
"Newton, NH",03858,Newton,NH,42.871322,-71.04807
"Newton Junction, NH",03859,Newton Junction,NH,42.861915,-71.04002
"North Conway, NH",03860,North Conway,NH,44.035684,-71.13084
"Lee, NH",03861,Lee,NH,43.1,-71.01
"North Hampton, NH",03862,North Hampton,NH,42.97778,-70.83055
"Ossipee, NH",03864,Ossipee,NH,43.672636,-71.10266
"Plaistow, NH",03865,Plaistow,NH,42.837189,-71.09445
"Rye, NH",03870,Rye,NH,43.000003,-70.76517
"Rye Beach, NH",03871,Rye Beach,NH,42.980639,-70.771896
"Sanbornville, NH",03872,Sanbornville,NH,43.564008,-71.03405
"Sandown, NH",03873,Sandown,NH,42.929588,-71.18444
"Seabrook, NH",03874,Seabrook,NH,42.88439,-70.85466
"Silver Lake, NH",03875,Silver Lake,NH,43.868287,-71.18267
"Somersworth, NH",03878,Somersworth,NH,43.253783,-70.87549
"South Effingham, NH",03882,South Effingham,NH,43.721239,-71.00006
"South Tamworth, NH",03883,South Tamworth,NH,43.828696,-71.32104
"Strafford, NH",03884,Strafford,NH,43.257919,-71.17701
"Stratham, NH",03885,Stratham,NH,43.015756,-70.90192
"Union, NH",03887,Union,NH,43.448064,-71.02823
"West Ossipee, NH",03890,West Ossipee,NH,43.811782,-71.194586
"Wolfeboro, NH",03894,Wolfeboro,NH,43.596233,-71.19552
"Wolfeboro Falls, NH",03896,Wolfeboro Falls,NH,43.589157,-71.218894
"Wonalancet, NH",03897,Wonalancet,NH,43.908738,-71.34507
"White River Junction, VT",05001,White River Junction,VT,43.662892,-72.36825
"Ascutney, VT",05030,Ascutney,VT,43.410672,-72.429777
"Barnard, VT",05031,Barnard,VT,43.735816,-72.6026
"Bethel, VT",05032,Bethel,VT,43.811958,-72.64493
"Bradford, VT",05033,Bradford,VT,43.994064,-72.15534
"Bridgewater, VT",05034,Bridgewater,VT,43.577762,-72.61789
"Bridgewater Corners, VT",05035,Bridgewater Corners,VT,43.608849,-72.6799
"Brookfield, VT",05036,Brookfield,VT,44.02591,-72.58502
"Brownsville, VT",05037,Brownsville,VT,43.461468,-72.48743
"Chelsea, VT",05038,Chelsea,VT,43.989583,-72.46276
"Corinth, VT",05039,Corinth,VT,44.026521,-72.29347
"East Corinth, VT",05040,East Corinth,VT,44.070771,-72.21275
"East Randolph, VT",05041,East Randolph,VT,43.966821,-72.54784
"East Ryegate, VT",05042,East Ryegate,VT,44.213499,-72.08037
"East Thetford, VT",05043,East Thetford,VT,43.795686,-72.21325
"Fairlee, VT",05045,Fairlee,VT,43.919887,-72.20655
"Groton, VT",05046,Groton,VT,44.254302,-72.22669
"Hartford, VT",05047,Hartford,VT,43.672103,-72.355539
"Hartland, VT",05048,Hartland,VT,43.566105,-72.39941
"Hartland Four Corners, VT",05049,Hartland Four Corners,VT,43.592039,-72.588407
